Date,Adj Close,Close,High,Low,Open,Volume
03/08/2021,1056.850464,1226.25,1230,1210,1211,2603616
04/08/2021,1048.447388,1216.5,1230.400024,1213.699951,1225.199951,1938175
05/08/2021,1075.768555,1248.199951,1254,1217,1217.050049,5790873
06/08/2021,1089.90271,1264.599976,1273,1243.050049,1252,3894726
09/08/2021,1109.596191,1287.449951,1306.800049,1266,1290.400024,6585101
10/08/2021,1140.278442,1323.050049,1329.699951,1282.400024,1288,6314469
11/08/2021,1140.752319,1323.599976,1326.75,1298.349976,1323.050049,3430349
12/08/2021,1195.006104,1386.550049,1394.800049,1317.75,1323,8613315
13/08/2021,1192.075806,1383.150024,1390,1365.900024,1380.099976,4760344
16/08/2021,1178.889282,1367.849976,1399.949951,1360.25,1381.949951,2912430
17/08/2021,1218.405396,1413.699951,1428.800049,1370.5,1372,8042970
18/08/2021,1217.371216,1412.5,1425,1404.25,1418,2939739
20/08/2021,1205.908691,1399.199951,1420,1370.650024,1370.650024,4051399
23/08/2021,1220.387695,1416,1442.949951,1409,1415.449951,3987240
24/08/2021,1261.196655,1463.349976,1467,1420,1421.900024,5366923
25/08/2021,1260.981079,1463.099976,1478,1450,1463,3105863
26/08/2021,1249.259766,1449.5,1466.75,1444,1459.800049,1993944
27/08/2021,1245.72644,1445.400024,1457.099976,1431.199951,1449.849976,3097939
30/08/2021,1223.145508,1419.199951,1455,1415.900024,1450,2742699
31/08/2021,1247.665283,1447.650024,1454,1406.949951,1424.800049,6392991
01/09/2021,1237.883423,1436.300049,1468.25,1427.5,1450,1829925
02/09/2021,1239.17627,1437.800049,1452.550049,1421.199951,1436,3860958
03/09/2021,1242.752808,1441.949951,1449.699951,1425.099976,1444,1919590
06/09/2021,1259.300659,1461.150024,1467.900024,1436.099976,1448,1801171
07/09/2021,1236.935303,1435.199951,1472.900024,1432.300049,1468.949951,1940043
08/09/2021,1230.600586,1427.849976,1442.349976,1419.849976,1440.199951,2256454
09/09/2021,1235.254883,1433.25,1437.900024,1414,1425.599976,2303457
13/09/2021,1232.022827,1429.5,1439.800049,1420.349976,1436,1937241
14/09/2021,1251.457642,1452.050049,1457,1429.5,1435,1554999
15/09/2021,1262.48938,1464.849976,1480,1437.949951,1442.099976,2410087
16/09/2021,1248.268677,1448.349976,1469,1440,1464.849976,1800078
17/09/2021,1251.026611,1451.550049,1472,1436.599976,1451,2861623
20/09/2021,1233.574097,1431.300049,1493.150024,1426.349976,1440,2526342
21/09/2021,1259.774536,1461.699951,1466.449951,1420.400024,1439,1713705
22/09/2021,1304.504639,1513.599976,1527.900024,1456.5,1464,5145820
23/09/2021,1311.313477,1521.5,1531,1504,1525.099976,2015302
24/09/2021,1305.495972,1514.75,1547.849976,1511.050049,1530,3592146
27/09/2021,1262.101563,1464.400024,1525,1459.199951,1523,2728552
28/09/2021,1218.707153,1414.050049,1465,1408.400024,1464.400024,3995669
29/09/2021,1202.59021,1395.349976,1408.949951,1372.75,1400,7948104
30/09/2021,1189.878052,1380.599976,1402.650024,1377,1388,3856630
01/10/2021,1181.819702,1371.25,1384,1364.800049,1375,2661824
04/10/2021,1205.779297,1399.050049,1405.550049,1372.050049,1384.699951,2538936
05/10/2021,1217.845337,1413.050049,1421,1381,1399.099976,2481825
06/10/2021,1194.230225,1385.650024,1426.900024,1379.949951,1422.900024,2769341
07/10/2021,1221.421997,1417.199951,1423.300049,1375.650024,1397.949951,1956325
08/10/2021,1241.029053,1439.949951,1447,1418.5,1418.5,2665924
11/10/2021,1206.770386,1400.199951,1434.449951,1385.599976,1420,3073366
12/10/2021,1184.577515,1374.449951,1402.849976,1361,1399,2965629
13/10/2021,1208.45105,1402.150024,1410,1377,1386.900024,1738985
14/10/2021,1233.143066,1430.800049,1459.599976,1410.5,1432,4328124
