Date,Adj Close,Close,High,Low,Open,Volume
12/10/2022,599.1141357,615.6500244,622.7000122,613.8499756,621.5,700431
13/10/2022,595.1729126,611.5999756,618.4500122,611,616,686400
14/10/2022,596.3406982,612.7999878,619.0499878,612,617.5999756,617660
17/10/2022,592.3994751,608.75,613.5499878,608,612.7999878,772169
18/10/2022,591.5235596,607.8499756,612.4000244,607.5,611,696884
19/10/2022,590.75,607.0499878,611,605.5,608.9000244,637868
20/10/2022,584.857605,601,607.9500122,600,607.5499878,1042196
21/10/2022,573.3745728,589.2000122,601.1500244,588,601.1500244,1854225
24/10/2022,583.6898193,599.7999878,600.7999878,593,593,457731
25/10/2022,579.55,595.5499878,601,594.2999878,600,536666
27/10/2022,579.55,595.5499878,597.7999878,595,596.5,651827
28/10/2022,576.78,592.7000122,597.4500122,591.25,596,737228
31/10/2022,587.7283325,603.9500122,616.7999878,602.7999878,606.9000244,2929385
01/11/2022,588.94,605.2000122,608.9500122,603.9500122,608.9500122,1013858
02/11/2022,602.76,619.4000244,622,603.0999756,607,1836761
03/11/2022,608.84552,625.6500244,629,616,619,1604869
04/11/2022,611.1810913,628.0499878,630.9000244,626.2999878,628,662123
07/11/2022,616.241333,633.25,638,629,629,1044987
09/11/2022,614.343811,631.2999878,637.7000122,630.0999756,635,626576
10/11/2022,604.1743774,620.8499756,635,618.5999756,635,788898
11/11/2022,610.8405151,627.7000122,633.6500244,625.0499878,626,979067
14/11/2022,646.7980347,664.6500244,684.9000244,658.2999878,663.9500122,8854572
15/11/2022,637.1152954,654.7000122,672.2999878,650,665,2112529
16/11/2022,625.3889771,642.6500244,655,640,652,1364241
17/11/2022,626.5567627,643.8499756,649.25,637.5499878,639,1211174
18/11/2022,621.64,638.7999878,646,636.7000122,643,750739
21/11/2022,610.2078857,627.0499878,640.2999878,625.2999878,639.9000244,880089
22/11/2022,608.9915161,625.7999878,633.7999878,624,625,996001
23/11/2022,604.52,621.2000122,629,620.0499878,627,914416
24/11/2022,607.48,624.25,631,623,623,1199253
25/11/2022,610.8890991,627.75,630.75,626.7000122,627.3499756,803958
28/11/2022,612.8840942,629.7999878,633.25,627.75,628,823562
29/11/2022,619.7,636.7999878,643.4000244,629,629,1571328
30/11/2022,619.21,636.2999878,639.7999878,633,636,647345
01/12/2022,633.4173584,650.9000244,658.0999756,638,638,3163335
02/12/2022,633.7579956,651.25,654,648,648,905130
05/12/2022,634.585083,652.0999756,655,649,651.0999756,800923
