Date,Close,High,Low,Open,Volume
18/07/2018,95.5799942,96.10329476,94.07164835,96.01094694,2892637
19/07/2018,95.14904022,95.94938423,94.47181912,95.42608368,3163729
20/07/2018,95.82626343,96.04174546,94.81043727,94.81043727,3659896
23/07/2018,97.36537933,98.25807108,95.61077092,95.61077092,6286406
24/07/2018,96.9344101,97.85788816,96.28797545,97.27302623,4224482
25/07/2018,92.96346283,96.74971736,92.25546108,96.04172125,15232765
26/07/2018,94.4102478,94.71807197,92.34781514,93.24051257,17803995
27/07/2018,95.39530182,95.57999747,93.64069317,94.19478011,5766367
30/07/2018,95.98015594,96.903634,94.84119592,96.65736567,9747265
31/07/2018,95.33372498,97.76554309,94.96433374,95.94937328,9065227
01/08/2018,95.64156342,96.04174109,94.04086961,95.30295847,4903117
02/08/2018,95.67235565,95.88783769,94.90278661,95.24140285,3895179
03/08/2018,96.31877136,96.71894899,95.67233666,95.9493801,3276529
06/08/2018,96.50345612,97.27302491,96.04171709,96.59580392,2395237
07/08/2018,97.79632568,98.44276032,96.25719935,96.65736566,4450873
08/08/2018,97.42694092,98.35041903,97.02676331,98.19650977,4151246
09/08/2018,98.93528748,99.33545379,96.5342445,97.51928401,4915016
10/08/2018,98.22729492,99.3970415,97.4269509,99.11999804,4518788
13/08/2018,97.27304077,97.91947551,96.38033766,97.88868915,2702390
14/08/2018,96.59581757,97.73477774,96.34956048,97.14990447,2030044
16/08/2018,97.61164856,97.88869203,96.1340834,96.59582251,2153881
17/08/2018,97.27304077,98.65825807,97.05755877,97.88868915,4672155
20/08/2018,97.61164856,98.56591315,97.27304363,97.45773928,3448567
21/08/2018,99.02764893,99.55094948,97.02677199,98.25808001,5279408
23/08/2018,101.1824265,101.5826041,98.56591235,99.24312219,7704134
24/08/2018,101.1516418,103.2140688,100.7514642,101.3363375,5436786
27/08/2018,102.2906036,102.7215677,100.966959,101.5210459,2630486
28/08/2018,103.6142654,107.4620879,102.4137436,102.5984393,8727238
29/08/2018,102.2290497,104.3222634,101.8904447,104.3222634,3769664
30/08/2018,104.4761658,105.1226005,101.921202,101.921202,13384598
31/08/2018,105.5843353,106.3231178,104.0451976,104.322241,8445506
03/09/2018,104.3530273,106.3846792,103.060158,106.1999836,4592967
04/09/2018,103.4910965,104.9686613,103.0601439,104.353013,3016566
05/09/2018,103.3987732,104.9071247,102.5060813,103.2448639,2837060
06/09/2018,105.4847488,106.6089202,103.4549988,103.67358,7658860
07/09/2018,105.890686,106.5152218,103.6111128,106.483991,3585828
10/09/2018,105.672081,107.0148447,105.0163145,106.1092548,5871138
11/09/2018,106.0156097,107.2646929,105.3910739,105.5784358,9709410
12/09/2018,106.1717453,107.1710049,104.2044454,106.4215574,7109565
14/09/2018,109.2632141,109.3568951,106.4215549,106.4215549,7340733
17/09/2018,107.5769348,109.5442343,106.8587068,109.2944108,2792490
18/09/2018,105.984375,108.9509343,105.6096512,108.170256,3646318
19/09/2018,105.6408691,107.3895876,104.9226524,106.7962712,5092003
21/09/2018,105.0787735,108.5449679,104.2044258,105.6720899,9597428
24/09/2018,104.860199,106.6713561,103.860928,105.0475608,6216532
25/09/2018,106.1717453,106.4840075,102.6743194,105.640879,6496965
26/09/2018,104.7977524,107.1710069,103.673581,107.1710069,3591889
27/09/2018,104.8914185,106.1717322,103.9858399,105.0163302,6718629
28/09/2018,104.2044296,105.9843674,103.6735634,104.8914155,5444684
01/10/2018,105.9219131,106.3590985,103.7672515,104.61038,4950123
03/10/2018,104.5166931,105.4535025,103.7360263,105.4222831,5780126
04/10/2018,104.1732025,105.2973738,102.8929002,103.9233905,6563494
05/10/2018,101.7375031,104.8602049,100.2698388,104.0482958,13292940
08/10/2018,102.0809784,102.9865683,99.58282418,100.8006762,4637569
09/10/2018,100.9880295,103.0490097,100.4883941,102.924098,5756458
